time,open,high,low,close,volume,spread
2025-05-22 05:30:00,0.89127,0.89206,0.8912,0.89202,533,29
2025-05-22 05:45:00,0.89201,0.89237,0.89179,0.89182,559,29
2025-05-22 06:00:00,0.89182,0.89196,0.89149,0.89186,476,29
2025-05-22 06:15:00,0.89186,0.89215,0.89177,0.89198,527,29
2025-05-22 06:30:00,0.89194,0.89205,0.89176,0.89186,521,29
2025-05-22 06:45:00,0.89186,0.89236,0.89184,0.8922,421,29
2025-05-22 07:00:00,0.8922,0.89245,0.89201,0.89222,403,29
2025-05-22 07:15:00,0.89223,0.89259,0.89206,0.8925,401,29
2025-05-22 07:30:00,0.89252,0.89308,0.89225,0.89307,478,29
2025-05-22 07:45:00,0.89307,0.89325,0.893,0.89311,450,29
