time,open,high,low,close,volume,spread
2025-05-19 05:15:00,0.89546,0.8964,0.89546,0.8964,516,29
2025-05-19 05:30:00,0.8964,0.89651,0.89559,0.8958,575,29
2025-05-19 05:45:00,0.8958,0.89603,0.89562,0.896,514,29
2025-05-19 06:00:00,0.89599,0.89613,0.89585,0.89595,459,29
2025-05-19 06:15:00,0.89595,0.89618,0.89581,0.89585,382,29
2025-05-19 06:30:00,0.89585,0.89603,0.89563,0.89567,404,29
2025-05-19 06:45:00,0.89567,0.89575,0.89551,0.89553,406,29
2025-05-19 07:00:00,0.89554,0.89561,0.89491,0.89502,337,29
2025-05-19 07:15:00,0.89502,0.89525,0.89487,0.89518,342,29
2025-05-19 07:30:00,0.89521,0.89525,0.89485,0.89498,299,29
2025-05-19 07:45:00,0.89498,0.89498,0.89467,0.89484,390,29
2025-05-19 08:00:00,0.89484,0.89512,0.89476,0.89476,510,29
2025-05-19 08:15:00,0.89477,0.89477,0.89424,0.89436,302,29
2025-05-19 08:30:00,0.89436,0.89444,0.89395,0.89405,430,29
2025-05-19 08:45:00,0.89405,0.89423,0.89376,0.89395,560,29
2025-05-19 09:00:00,0.89394,0.89474,0.89375,0.8945,684,29
2025-05-19 09:15:00,0.89452,0.89533,0.89452,0.89497,624,29
2025-05-19 09:30:00,0.89497,0.89519,0.89472,0.89475,521,29
2025-05-19 09:45:00,0.89475,0.89521,0.89457,0.89514,458,29
2025-05-19 10:00:00,0.89514,0.8956,0.89489,0.89523,907,29
2025-05-19 10:15:00,0.89525,0.89642,0.89511,0.89637,744,29
2025-05-19 10:30:00,0.8964,0.8968,0.8962,0.89628,809,29
2025-05-19 10:45:00,0.89628,0.8966,0.89603,0.89646,745,29
2025-05-19 11:00:00,0.89644,0.89652,0.8961,0.89624,510,29
2025-05-19 11:15:00,0.89627,0.89636,0.89564,0.89587,512,29
2025-05-19 11:30:00,0.89587,0.89676,0.89587,0.89649,446,29
2025-05-19 11:45:00,0.89645,0.8976,0.89632,0.89753,647,29
2025-05-19 12:00:00,0.89756,0.89829,0.89719,0.89823,737,29
2025-05-19 12:15:00,0.89823,0.89844,0.89779,0.89786,598,29
2025-05-19 12:30:00,0.8979,0.89837,0.89775,0.89821,662,29
2025-05-19 12:45:00,0.89821,0.89881,0.89806,0.89878,715,29
2025-05-19 13:00:00,0.89879,0.89887,0.89846,0.89876,599,29
2025-05-19 13:15:00,0.89876,0.89904,0.8985,0.89889,553,29
2025-05-19 13:30:00,0.8989,0.89891,0.89854,0.89886,507,29
2025-05-19 13:45:00,0.89886,0.89925,0.89874,0.89889,550,29
2025-05-19 14:00:00,0.89888,0.89912,0.89858,0.89907,477,29
2025-05-19 14:15:00,0.89907,0.89968,0.89901,0.89907,545,29
2025-05-19 14:30:00,0.89903,0.89909,0.8986,0.89885,576,29
2025-05-19 14:45:00,0.89886,0.89904,0.89855,0.89886,668,29
